21s,Count of 21s
a,25
about,5
acting,1
add,2
again,2
ago,3
ah,14
ain't,14
alabama,3
album,1
all,11
alone,4
always,2
an,3
and,29
anyway,4
apathy,2
applebee's,3
are,1
around,1
ask,3
at,6
aweee,2
ayy,25
babe,2
baby,11
back,7
bad,1
bangin',1
bash,1
bathroom,3
be,10
bed,3
been,2
began,2
better,1
bieber,1
blew,1
blonde,1
bloomer,1
blue,2
boomers,1
bought,1
bougie,3
bourbon,3
boxed,1
boy,2
boyfriend,1
brand,1
break,3
but,21
buying,1
bweee,2
bweeees,2
by,4
call,17
can,3
cannot,2
can't,8
car,1
care,1
cared,5
career's,1
cars,1
catch,1
caught,1
'cause,11
champagne,1
champions,2
check,3
cheek,1
child,1
chokin',1
city,1
clean,2
clear,1
close,1
cocaine,2
comin',2
computers,1
consumers,1
control,1
could,8
couldn't,1
country,1
couple,5
cream,5
crossed,1
crying,4
cute,1
cuter,1
damn,1
dancin',2
dark,2
date,3
delight,3
did,2
didn't,4
dime,1
dip,1
dixieland,3
do,13
dog,6
doing,3
done,2
don't,18
doobie,1
double,1
doubt,1
down,2
drinking,2
drive,6
driver's,1
driving,1
drove,3
easily,2
elite,1
else,1
'em,9
emotional,4
end,2
enough,1
entertainment,1
envy,2
eve,2
even,3
ever,5
every,5
everybody,1
everything,2
excited,1
face,2
fact,1
fall,1
fancy,9
fazed,2
feel,3
feeling,1
felt,3
finally,1
fine,1
flashy,1
floor,3
flying,1
for,31
forever,4
found,2
friends,3
fries,1
from,9
front,1
frosty,1
funny,2
fweee,4
fweeein',2
fweeeing,1
garden,2
gas,1
get,18
gettin',2
getting,1
girl,9
girls,1
give,1
go,2
god,5
goes,1
gon',1
gone,3
good,14
got,16
gotta,4
grammys,1
great,3
guess,10
ha,4
handprint,1
happened,1
happy,4
haters,1
have,3
hawaii,1
he,7
healthy,3
hear,4
hearing,1
hella,1
helped,1
her,9
here,4
high,1
him,1
hit,1
holes,1
home,6
hood,1
hoping,1
house,1
how,13
humor,1
hurt,1
i,111
if,6
i'll,4
i'm,30
imagine,3
impress,2
in,31
incline,1
industry,2
insecure,1
into,1
is,12
it,15
it's,3
jamma,3
jeans,1
jet,1
jokes,1
juniors,2
just,9
keep,2
keeping,1
kinda,1
kisses,1
kitchen,1
know,9
lag,1
last,1
late,2
laughing,1
layin',3
league,1
leave,1
let,1
let's,1
license,1
life,1
light,1
lights,1
like,32
lips,1
little,1
live,2
livin',1
living,1
long,3
look,3
looking,1
losers,2
lost,5
love,4
low,4
lying,1
made,2
madea,1
maintenance,1
make,1
makin',3
man,1
mansion,1
maybe,7
maybelline,1
me,46
mean,3
met,1
mind,3
mine,2
miss,1
mm,12
mmm,12
morning,2
mouth,1
moved,2
much,2
must,1
my,25
name,4
nas,1
nasty,1
natty,3
need,14
networks,1
never,13
new,5
nicki,1
night,6
nine,1
no,9
noise,1
not,6
notes,1
nothin',6
now,14
number,1
nweee,3
nweees,2
of,7
off,3
og,1
oh,10
okay,3
oklahoma,1
old,1
older,1
on,26
one,11
ones,2
only,4
ooh,18
or,2
oreo,3
out,7
over,4
paid,2
past,5
peak,1
perfect,3
person,1
pictured,1
place,1
places,1
plaque,1
plaques,1
pop,1
poppin',1
posts,1
pretend,2
private,1
probably,2
proud,1
pussies,1
qweee,1
racks,1
radio,1
rap,1
really,10
reason,1
record,1
red,1
release,1
remember,2
riding,1
right,3
road,3
rollin',1
romancin',1
romantic,1
rootin',3
'round,1
rumors,1
run,6
runnin',2
said,8
salt,2
say,4
school,1
screw,2
secrets,1
see,3
sell,1
sense,1
sent,1
shake,3
she,8
she's,4
shining,1
shit,1
shoot,1
shouldn't,1
sidewalks,1
sign,1
signs,1
sin,2
since,2
skoal,1
slow,2
slows,1
smiles,1
so,14
social,1
sociopath,1
soldiers,6
some,7
someone,1
song,4
soon,1
sooner,1
sorry,1
speak,1
spent,3
spoil,2
squeak,3
squeakin',3
stay,1
steak,3
still,6
stop,1
straws,3
street,7
styrofoam,5
suburbs,3
sue,1
super,1
swore,1
table,1
take,1
takin',1
taking,1
talked,1
talkin',1
talking,1
tell,9
tesla,2
than,1
that,33
that's,7
the,70
them,2
then,5
therapist,1
there,4
these,4
they,9
they'll,1
this,6
through,4
throw,2
throwing,1
time,3
times,1
tired,1
to,27
toasts,1
today,3
told,3
tonight,1
too,9
took,1
top,6
track,1
traffic,1
truck,3
try,1
tryna,1
turn,1
two,3
type,1
uh,6
unaffected,3
up,9
upgrade,2
used,1
vespa,1
vets,1
victoria's,1
voice,1
wait,1
waitin',5
walkin',1
wanna,8
want,7
wanted,1
was,10
way,14
we,19
week,2
weeks,1
well,8
wendy's,1
went,2
were,1
weren't,4
what,11
when,15
where's,1
while,3
whipped,5
white,1
who,2
why,2
wide,1
will,1
wine,1
wish,3
with,13
without,5
woo,3
working,1
world,2
would,1
wound,2
wrote,3
ya,1
y'all,2
yards,1
yeah,20
yesterday,1
yo',1
you,106
your,28
yourself,1
